AACHEN, GERMANY:50.8228:6.18722:160
AALBORG, DENMARK:57.0928:9.84889
AARHUS, DENMARK:56.3042:10.6194:91
ABADAN, IRAN:30.365:48.2331
ABAKAN, RUSSIA:53.74:91.385:112
ABBEVILLE, FRANCE:50.1433:1.83167
ABBOTSFORD, CANADA:49.0253:W122.363
ABDANAN, IRAN:32.9344:47.4833
ABECHE, CHAD:13.8469:20.8442
ABERDEEN, UK:57.145278438534575:W2.1125505583496174:185
ABERDEEN, USA:39.4661:W76.1694
ABHA, SAUDI ARABIA:18.24:42.6556
ABIDJAN, IVORY COAST:5.25972:W3.92639
ABILENE, USA:32.4111:W99.6817
ABQAIQ, SAUDI ARABIA:25.9114:49.5914
ABU DHABI, UNITED ARAB EMIRATES:24.2481:54.5475
ABUJA, NIGERIA:9.00667:7.26306
ABUMUSA I., IRAN:25.8758:55.0328
ABU SIMBEL, EGYPT:22.3758:31.6117
ACAPULCO, MEXICO:16.7567:W99.7533
ACARIGUA, VENEZUELA:9.55333:W69.2378
ACCRA, GHANA:5.60278:W0.168056
ADAK ISLAND, USA:51.8778:W176.646
ADANA, TURKEY:37:35.321333:1945
ADDIS ABABA, ETHIOPIA:8.97694:38.8:527
ADELAIDE, AUSTRALIA:-34.9213:138.6186:500
ADRAR, ALGERIA:27.8375:W0.186389:633
AFYON, TURKEY:38.7261:30.6011:1025
AGADEZ, NIGER:16.9647:7.99694:2
AGADIR, MOROCCO:30.3811:W9.54611:51
AGARTALA, INDIA:23.8889:91.2408:76
AGEN, FRANCE:44.1747:0.590556:11
AGGENEYS, SOUTH AFRICA:-29.2817:18.8136:205
AGRA, INDIA:27.1556:77.9608:121
AGRINION, GREECE:38.6019:21.3511:162:84
AGUADILLA, PUERTO RICO:18.4947:W67.1294:197
AGUASCALIENTES, MEXICO:21.7053:W102.318:385
AHMEDABAD, INDIA:23.0747:72.6317:464
AHWAZ, IRAN:31.3372:48.7619:185
AIN OUSSERA, ALGERIA:35.5253:2.87861:809
AIRE-SUR-L'ADOUR, FRANCE:43.7094:W0.245278:57
AITUTAKI, COOK ISLANDS:-18.825:W159.774:18
AIX-LES-MILLES, FRANCE:43.5053:5.36778
AIZWAL, INDIA:23.7461:92.8031:457
AJACCIO, CORSE ISL.:41.9236:8.80278:82
AKHISAR, TURKEY:38.8086:27.8336:93
AKITA, JAPAN:39.6156:140.219:906
AKOLA, INDIA:20.6989:77.0564:128
AKRON, USA:41.0375:W81.4667:161
AKROTIRI, CYPRUS:34.5903:32.9878:254
AKTYUBINSK, RUSSIA:50.245:57.2033:400
AKURE, NIGERIA:7.24667:5.30083:991
AKUREYRI, ICELAND:65.6597:W18.0725:138
AL AIN, UNITED ARAB EMIRATES:24.2617:55.6092:5
ALAMOGORDO, USA:32.8525:W106.106:55
ALBACETE, SPAIN:38.9483:W1.86333:1126
ALBANY, USA:42.7481:W73.8028:56
ALBENGA, ITALY:44.0506:8.12722:36
ALBERT, FRANCE:49.9714:2.69972:13
ALBI, FRANCE:43.9136:2.11306:44
ALBURY, AUSTRALIA:-36.0678:146.958:64
ALDAN, RUSSIA:34.8042:W96.6711:33
ALEPPO, SYRIA:36.1806:37.2242:190
ALERT, CANADA:82.5178:W62.2806:142
ALES, FRANCE:44.0694:4.14194:23
ALESUND, NORWAY:62.5603:6.11:632
ALEXANDER BAY, SOUTH AFRICA:-28.575:16.5333:9
ALEXANDRA, NEW ZEALAND:-45.2117:169.373:9
ALEXANDRIA, EGYPT:31.1839:29.9489:2679
ALEXANDRIA, GREECE:35.50580479245094:24.024996747143533:61
ALEXANDRIA, USA:31.3272:W92.5483:39
ALEXANDRIA, ROMANIA:43.968611:25.333333:9
ALEXANDROUPOLIS, GREECE:40.8558:25.9561:642
ALGHERO, ITALY:40.6319:8.29056:224
ALGIER, ALGERIA:36.6908:3.21528:1190
AL HOCIEMA, MOROCCO:35.1769:W3.83944:10
ALICANTE, SPAIN:38.2819:W0.558056:201
ALICE SPRINGS, AUSTRALIA:-23.8069:133.902:148
ALICE, USA:27.7408:W98.0269:32
ALLAHABAD, INDIA:25.4389:81.7342:365
ALLENDORF, GERMANY:51.0353:8.67889:41
ALMA-ATA, KAZAKHSTAN:43.3519:77.0403:682
ALMEIRIM, BRAZIL:-0.889722:W52.6022:222
ALMERIA, SPAIN:36.8439:W2.37:295
ALOFI, NEW ZEALAND:-19.08:W169.926:46
ALOR SETAR, MALAYSIA:6.19389:100.403:666
ALPINOPOLIS, BRAZIL:-20.7028:W46.335:458
ALPNACH, SWITZERLAND:46.9439:8.28417:56
ALTA, NORWAY:69.9769:23.3661:9
ALTENBURG, GERMANY:50.9817:12.5061:45
ALTENRHEIN, SWITZERLAND:47.485:9.56056:9
ALTOONA, USA:40.2964:W78.32:25
ALTUS, USA:34.6669:W99.2667:48
ALYTUS, LITHUANIA:54.401389:24.049167:40
AMAMI, JAPAN:28.4306:129.712:308
AMARILLO, USA:35.2192:W101.706:269
AMBATO, ECUADOR:-1.2125:W78.5742:46
AMBERIEU, FRANCE:45.9872:5.32833:24
AMBERLEY, AUSTRALIA:-10.9508:142.459:26
AMBON, INDONESIA:-3.70889:128.09:359
AMIENS, FRANCE:49.8714:2.38639:49
AMMAN, JORDAN:31.7225:35.9931:1680
AMRITSAR, INDIA:31.7075:74.7992:139
AMSTERDAM, NETHERLANDS:52.3086:4.76389:219
ANACO, VENEZUELA:9.42917:W64.4708:42
ANADYR, RUSSIA:64.7347:177.741:20
ANCENIS, FRANCE:47.4081:W1.1775:20
ANCHORAGE, USA:61.2511:W149.806:1415
ANCUD, CHILE:-41.9061:W73.7967:1252
ANDAHUAYLAS, PERU:-13.7064:W73.3503:370
ANDERSEN, USA:34.495:W82.7092:108
ANDERSTORP, SWEDEN:57.2642:13.5992:5
ANDOYA, NORWAY:69.2925:16.1442:489
ANGELHOLM, SWEDEN:56.2958:12.8469:12
ANGERS, FRANCE:47.4972:W0.5725:42
ANGOULEME, FRANCE:45.7292:0.221389:21
ANKARA, TURKEY:39.93:32.85:2000
ANKLAM, GERMANY:53.8325:13.6689:56
ANNABA, ALGERIA:36.8222:7.80917:49
ANNECY, FRANCE:45.9292:6.09861:66
ANNEMASSE, FRANCE:46.1919:6.26833:4
ANNISTON, USA:33.5881:W85.8581:118
ANSAN, KOREA:37.316667:126.833333:716
ANTALYA, TURKEY:36.9014:30.7917:1417
ANTANANARIVO, MADAGASCAR:-18.7967:47.4786:85
ANTA, PERU:-9.34722:W77.5983:202
ANTOFAGASTA, CHILE:-23.4444:W70.445:500
ANTSIRANANA, MADAGASCAR:-12.3492:49.2917:71
ANTSOHIHY, MADAGASCAR:-14.8986:47.9939:20
ANTWERP, BELGIUM:51.19:4.46278:204
ANURADHAPURA, SRI LANKA:8.30111:80.4281:36
AOMORI, JAPAN:40.7344:140.691:824
AQABA, JORDAN:29.6114:35.0181:375
ARACAJU, BRAZIL:-10.9839:W37.0703:181
ARACATUBA, BRAZIL:-21.1411:W50.4247:1167
